id,reviews,last_review
15372857,19,November 2017
21955191,19,November 2017
15388317,28,September 2016
18169668,28,September 2016
309813,28,September 2016
8280115,28,September 2016
7393454,28,September 2016
14166372,28,September 2016
17087693,28,September 2016
2878251,28,September 2016
5235841,28,September 2016
6746281,28,September 2016
19680934,28,September 2016
15372849,7,October 2017
12015030,7,October 2017
15839412,7,October 2017
15453886,7,October 2017
8139289,7,October 2017
14627374,7,October 2017
18425592,7,October 2017
11177744,7,October 2017
18906646,7,October 2017
3780999,7,October 2017
19096673,7,October 2017
2570194,7,October 2017
1337901,7,October 2017
16182197,7,October 2017
19902181,7,October 2017
6981680,7,October 2017
16211443,7,October 2017
16280318,7,October 2017
13821183,7,October 2017
7729700,7,October 2017
18711829,7,October 2017
20135260,7,October 2017
11840349,7,October 2017
7481367,7,October 2017
12204440,60,September 2017
940996,60,September 2017
2616852,60,September 2017
2503586,60,September 2017
15372848,60,September 2017
20352610,60,September 2017
8480318,60,September 2017
7655712,60,September 2017
17236339,60,September 2017
3055252,60,September 2017
13597914,60,September 2017
6796065,60,September 2017
20022884,60,September 2017
16143490,60,September 2017
20214113,60,September 2017
14004634,60,September 2017
13293467,60,September 2017
13309628,60,September 2017
2499673,31,October 2017
714318,31,October 2017
12090057,31,October 2017
6597558,31,October 2017
17760402,31,October 2017
15839447,31,October 2017
946518,12,September 2017
19919375,12,September 2017
20214488,12,September 2017
3161992,12,September 2017
19378688,12,September 2017
14794910,12,September 2017
3790137,12,September 2017
14942164,12,September 2017
5484212,12,September 2017
13663631,12,September 2017
1475223,12,September 2017
15250230,12,September 2017
18905550,12,September 2017
7123474,12,September 2017
8268078,12,September 2017
19241077,12,September 2017
3046011,12,September 2017
12360634,12,September 2017
14456374,12,September 2017
9099519,12,September 2017
19993835,12,September 2017
18168064,12,September 2017
14244064,12,September 2017
20121714,12,September 2017
13051530,12,September 2017
15372859,12,September 2017
7668332,12,September 2017
8039313,12,September 2017
19240713,12,September 2017
14277168,12,September 2017
14292389,12,September 2017
19240929,12,September 2017
15887884,12,September 2017
15372876,12,September 2017
18892423,12,September 2017
18905496,12,September 2017
14496805,12,September 2017
17942183,12,September 2017
13280379,12,September 2017
5534728,12,September 2017
19543693,12,September 2017
17410514,12,September 2017
18341267,12,September 2017
15308066,12,September 2017
11654913,12,September 2017
7041725,12,September 2017
19901258,12,September 2017
8730146,12,September 2017
3253361,12,September 2017
11615640,12,September 2017
14200220,12,September 2017
14794731,1,September 2016
3160281,1,September 2016
11172886,1,September 2016
18834781,1,September 2016
11478998,1,September 2016
18627679,1,September 2016
15016329,1,September 2016
19698418,1,September 2016
14177887,1,September 2016
11178349,1,September 2016
13483112,1,September 2016
19843980,1,September 2016
13259307,1,September 2016
11924498,1,September 2016
19466091,1,September 2016
6296433,1,September 2016
721486,1,September 2016
9581932,1,September 2016
18904254,1,September 2016
13260368,1,September 2016
13874908,1,September 2016
13372526,1,September 2016
13151689,1,September 2016
19989928,1,September 2016
13582606,1,September 2016
20372064,1,September 2016
6735761,1,September 2016
11932514,1,September 2016
18905039,1,September 2016
14136159,1,September 2016
11924738,1,September 2016
11924664,1,September 2016
20158939,1,September 2016
2360889,1,September 2016
19062608,1,September 2016
19444648,1,September 2016
13723888,1,September 2016
13527007,1,September 2016
19951425,1,September 2016
5991007,1,September 2016
17528439,1,September 2016
11924608,1,September 2016
16332816,1,September 2016
20369674,1,September 2016
11644663,1,September 2016
20414877,1,September 2016
18905413,1,September 2016
3251911,1,September 2016
4727567,1,September 2016
18385276,1,September 2016
11924218,1,September 2016
7274373,1,September 2016
3244266,1,September 2016
3129902,1,September 2016
12285403,1,September 2016
12238642,1,September 2016
20443988,9,September 2017
9190335,9,September 2017
18904151,9,September 2017
14776337,9,September 2017
6209628,9,September 2017
4451808,9,September 2017
20160820,9,August 2017
18092463,9,August 2017
6911007,9,August 2017
7298958,9,August 2017
14364526,9,August 2017
19465251,9,August 2017
8190712,9,August 2017
20264790,9,August 2017
20347547,9,August 2017
13584178,9,August 2017
19853178,9,August 2017
18152257,9,August 2017
14338679,9,August 2017
17491863,9,August 2017
18164617,19,November 2017
15729119,19,November 2017
18904152,19,November 2017
18904158,19,November 2017
19666886,19,November 2017
19108714,19,November 2017
13181486,19,November 2017
6287659,19,November 2017
3511680,19,November 2017
19599992,19,November 2017
1851931,19,November 2017
5915598,19,November 2017
16805315,23,April 2018
17440902,23,April 2018
17680570,23,April 2018
2450954,23,April 2018
11085090,23,April 2018
17486677,23,April 2018
20508491,23,April 2018
12671237,23,April 2018
7476508,23,April 2018
6285189,23,April 2018
15504339,23,April 2018
3162800,23,April 2018
18005009,23,April 2018
10744513,23,April 2018
13411305,23,April 2018
13218914,23,April 2018
18904215,23,April 2018
18423263,23,April 2018
18905097,23,April 2018
15168811,23,April 2018
18905047,23,April 2018
18420630,23,April 2018
14765984,23,April 2018
18904468,23,April 2018
18904503,Nor(yt),April 2018
3169377,20,October 2017
13905870,20,October 2017
10814846,20,October 2017
14137494,20,October 2017
19826719,20,October 2017
3832120,20,October 2017
19079431,20,October 2017
2147082,20,October 2017
15967761,20,October 2017
13862295,20,October 2017
18905064,20,October 2017
13167737,20,October 2017
18905080,20,October 2017
903053,20,October 2017
13929849,20,October 2017
8420968,20,October 2017
18595070,20,October 2017
14083317,20,October 2017
6264761,20,October 2017
13683226,20,October 2017
20201461,20,October 2017
3773341,20,October 2017
10826667,20,October 2017
16182150,20,October 2017
6668188,20,October 2017
13079986,20,October 2017
14395834,20,October 2017
20165123,20,October 2017
18430916,20,October 2017
4621581,20,October 2017
19820708,20,October 2017
19030351,20,October 2017
6541858,20,October 2017
17972810,20,October 2017
19352482,20,October 2017
19928059,20,October 2017
6956521,20,October 2017
15037088,20,October 2017
4808309,20,October 2017
12999148,20,October 2017
4079421,20,October 2017
13188893,20,October 2017
12041076,20,October 2017
18880704,20,October 2017
17446740,20,October 2017
14001991,20,October 2017
13603790,20,October 2017
19552221,20,October 2017
14698883,20,October 2017
19749259,20,October 2017
524624,20,October 2017
19373808,20,October 2017
7753952,20,October 2017
9611460,20,October 2017
13254167,20,October 2017
13602701,20,October 2017
7066839,20,October 2017
8914624,20,October 2017
5061885,20,October 2017
14310984,20,October 2017
18997824,20,October 2017
8094046,20,October 2017
19757687,20,October 2017
19045064,20,October 2017
13576502,20,October 2017
1674721,20,October 2017
17248743,20,October 2017
19799564,20,October 2017
20079253,20,October 2017
13110715,20,October 2017
605129,20,October 2017
1114735,20,October 2017
19888995,20,October 2017
5882657,20,October 2017
19678470,20,October 2017
19880340,20,October 2017
14801526,20,October 2017
19558629,20,October 2017
18106765,20,October 2017
3118104,20,October 2017
6394200,20,October 2017
13728718,20,October 2017
3015378,20,October 2017
18622105,20,October 2017
20129636,20,October 2017
6608475,20,October 2017
15030547,20,October 2017
20087196,20,October 2017
14007561,20,October 2017
19084488,20,October 2017
13461544,20,October 2017
13098018,20,October 2017
19133332,20,October 2017
19888664,20,October 2017
20318793,20,October 2017
19463113,20,October 2017
17563376,20,October 2017
1039110,20,October 2017
6919822,20,October 2017
7700999,20,October 2017
7275701,20,October 2017
16685481,20,October 2017
10205568,65,July 2017
19255850,65,July 2017
3239025,65,July 2017
13130875,65,July 2017
13748628,65,July 2017
19884950,65,July 2017
19884665,65,July 2017
17789494,65,July 2017
19745269,65,July 2017
13680596,65,July 2017
9135070,65,July 2017
19873416,65,July 2017
6955120,65,July 2017
15839410,65,July 2017
19668189,65,July 2017
19451548,65,July 2017
13949419,65,July 2017
14211714,65,July 2017
14122984,65,July 2017
18400012,65,July 2017
19387747,65,July 2017
15843515,65,July 2017
605611,65,July 2017
6296012,65,July 2017
19324368,65,July 2017
1600886,65,July 2017
2680891,65,July 2017
13375532,65,July 2017
14487033,65,July 2017
6928338,65,July 2017
5726660,65,July 2017
13483261,65,July 2017
3202524,65,July 2017
19643180,65,July 2017
11135128,65,July 2017
