"","id","latitude","longitude","price","accommodates","room_type","host_id","host_name","source","barrio","umenores"
"118",7036067,43.3234498279069,-1.98313867586433,80,2,"Private room",4402649,"SSHA Guesthouse","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"119",12000438,43.3234069402711,-1.98582239245572,110,4,"Entire home/apt",27570356,"Nerea","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"120",3726495,43.3105717314619,-2.0017962021492,120,4,"Entire home/apt",13367653,"Selectedrentals","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"121",14107123,43.3112135359822,-2.0020381600715,30,1,"Private room",10969460,"Silvia","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"122",7477785,43.318643445496,-1.94747871598676,250,3,"Entire home/apt",39156075,"Ismael","InsideAirbnb,Santi Espinosa","Intxaurrondo","Intxaurrondo Berri"
"123",11426933,43.3171143273858,-1.95260748559916,84,2,"Entire home/apt",42775403,"Océane&Jérémy","InsideAirbnb,Santi Espinosa","Intxaurrondo","Intxaurrondo Norte"
"124",13130875,43.3197954931243,-1.95955006623651,90,4,"Entire home/apt",7770643,"Elías","InsideAirbnb,Santi Espinosa","Intxaurrondo","Intxaurrondo Berri"
"125",14185138,43.3227821183675,-1.9763926228084,55,2,"Private room",15659580,"Eva","InsideAirbnb,Santi Espinosa","Gros","Gros"
"126",13261915,43.3103074591049,-1.96611623384679,89,4,"Entire home/apt",3086177,"Ion Ander","InsideAirbnb,Santi Espinosa","Loiola","Loiola Casco"
"127",7363660,43.3099384549951,-1.99888404298825,85,6,"Entire home/apt",38581049,"Roberto","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"128",3169268,43.324717974297,-1.98529937106694,120,4,"Entire home/apt",14524985,"Estefania & Iñigo","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"129",11172886,43.3152085905019,-1.98155764475158,180,6,"Entire home/apt",13725999,"Masa Y Borja","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"130",14081045,43.3217757378645,-1.98162116892076,50,2,"Private room",76520078,"Aitor","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"131",13255937,43.3015993549567,-1.97743224218753,95,4,"Entire home/apt",13367653,"Selectedrentals","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"132",3464203,43.3187840660922,-1.9845516703615,120,3,"Entire home/apt",15707672,"The Rentals Collection","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"133",1031158,43.3239097252952,-1.97357648476295,50,2,"Private room",5634854,"Juanjo Y Ara","InsideAirbnb,Santi Espinosa","Gros","Gros"
"134",16022528,43.3111274765893,-2.0013309112597,66,4,"Entire home/apt",102583389,"Basque Stay","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"135",16075312,43.3125925471589,-2.00528037546329,77,4,"Entire home/apt",12954077,"Aritz","InsideAirbnb,Santi Espinosa","Antiguo","Benta - Berri"
"136",13720557,43.3098864640479,-2.00057540249629,100,2,"Private room",80195068,"Iker","InsideAirbnb,Santi Espinosa","Antiguo","Heriz - Aizgorri"
"137",13588989,43.3164419965496,-1.95003249330134,73,2,"Entire home/apt",22110650,"Maritxu","InsideAirbnb,Santi Espinosa","Intxaurrondo","Intxaurrondo Norte"
"138",940996,43.3136450459163,-1.98499573252858,70,4,"Entire home/apt",5086082,"Laura","InsideAirbnb,Santi Espinosa","Centro","Amara Zaharra"
"139",953067,43.3085667638544,-2.05977672776973,132,4,"Entire home/apt",5173315,"Casa Rural Mar Y Mar Agroturismo, S","InsideAirbnb,Santi Espinosa","Igeldo","IGELDO"
"140",13777888,43.3098108863413,-1.97359615400467,50,2,"Private room",49473712,"Miren","InsideAirbnb,Santi Espinosa","Amara Berri","Riberas"
"141",9190335,43.3141511564562,-1.98071973849624,200,3,"Entire home/apt",47755143,"Estibaliz","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"142",16317370,43.3254100665683,-1.98605984581221,110,5,"Entire home/apt",84093662,"Vahe","InsideAirbnb,Santi Espinosa","Centro","Monte Urgull"
"143",14031801,43.324163323452,-1.97824082066626,150,4,"Entire home/apt",83735015,"JoseLuis & Miren","InsideAirbnb,Santi Espinosa","Gros","Gros"
"144",3365802,43.3208983162503,-1.94420957096364,118,4,"Entire home/apt",6540783,"Elena","InsideAirbnb,Santi Espinosa","Miracruz-Bidebieta","Alto de Miracruz - Arrobi"
"145",3787275,43.3148192228052,-1.99030384992813,130,2,"Private room",17097096,"Katherine","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"146",12270497,43.3080691841221,-1.98019412255202,30,6,"Private room",66092846,"Teresa","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"147",14441366,43.3124250242975,-1.99893519192839,200,5,"Entire home/apt",62087777,"Jens","InsideAirbnb,Santi Espinosa","Antiguo","Pio Baroja"
"148",13491086,43.3193970098391,-1.94601967992803,120,2,"Private room",66631770,"Ainhoa","InsideAirbnb,Santi Espinosa","Miracruz-Bidebieta","Alto de Miracruz - Arrobi"
"149",12237292,43.3100310230825,-1.98163010641958,24,2,"Private room",65846490,"Celestino","InsideAirbnb,Santi Espinosa","Amara Berri","Morlans"
"150",12041076,43.3209634544551,-1.97290156943729,85,3,"Entire home/apt",59613993,"Roberto & Lourdes","InsideAirbnb,Santi Espinosa","Egia","Atotxa"
"151",13327213,43.3240492017224,-1.98411688542443,50,2,"Private room",71124765,"Angela","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"152",14770162,43.3239332752923,-1.97423139919087,95,5,"Entire home/apt",92136823,"Carmen","InsideAirbnb,Santi Espinosa","Gros","Gros"
