estado,tipo,dirección,longitude,latitude
VUT_Favorable,Viviendas de uso turístico,"Aldakoenea 20, 01 - Dr",-1.9728640187,43.3202916293
VUT_Tramitacion,Viviendas de uso turístico,"Aldakoenea 61, 01 - B  Latxaga",-1.969120108,43.3195499206
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 5, 03 - Iz",-1.983709622,43.3252557184
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 12, 03 - Iz",-1.98243237,43.3237239528
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 14, 04 - Iz",-1.9824476766,43.3237453396
VUT_Favorable,Viviendas de uso turístico,"Aldamar 16, 01  Local 1",-1.982523202,43.3238535252
VUT_Favorable,Viviendas de uso turístico,"Aldamar 24, 01 - Dr",-1.9828238837,43.3242828327
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 24, 06 - Iz",-1.9828238837,43.3242828327
VUT_Tramitacion,Viviendas de uso turístico,"Aldamar 30, 06 - C",-1.9831097063,43.3246937282
VUT_Favorable,Viviendas de uso turístico,"Alfonso XIII, Pz de 2, 01 - Di  Alfonso XIII, 2-1 A",-2.0008513282,43.314364086
VUT_Tramitacion,Viviendas de uso turístico,"Alfonso XIII, Pz de 2, 04 - Ii",-2.0008513282,43.314364086
VUT_Tramitacion,Viviendas de uso turístico,"Alkiza, Pz de 5",-1.9906119842,43.3068408586
VUT_Favorable,Viviendas de uso turístico,Alto de Amara 3  Tavira  Entlo. A,-1.9834646047,43.3129216969
VUT_Favorable,Viviendas de uso turístico,Alto de Zorroaga 92,-1.9653448471,43.2975319388
VUT_Favorable,Viviendas de uso turístico,"Amara 5, 01 - Ext  1.Ext",-1.9832519235,43.313600097
VUT_Favorable,Viviendas de uso turístico,"Amara 14, 01 - A",-1.9834951346,43.313694195
VUT_Tramitacion,Viviendas de uso turístico,"Amara 16, 03 - C",-1.9836330262,43.3137666461
VUT_Tramitacion,Viviendas de uso turístico,"Amara 16, 08 - A",-1.9836330262,43.3137666461
VUT_Tramitacion,Viviendas de uso turístico,"Amara 20, 01 - C",-1.984115843,43.3138161383
VUT_Favorable,Viviendas de uso turístico,Amara 24  1º C,-1.9844872685,43.3138457301
VUT_Tramitacion,Viviendas de uso turístico,"Ametzagaña 16, 02 - Iz",-1.9705421954,43.3163429007
VUT_Tramitacion,Viviendas de uso turístico,"Amezketa,Cl de los 4  10",-1.9796007578,43.3040299967
VUT_Tramitacion,Viviendas de uso turístico,"Amezketa,Cl de los 4, 09 - D",-1.9796007578,43.3040299967
VUT_Tramitacion,Viviendas de uso turístico,"Amezketa,Cl de los 4, Bh  (10)",-1.9796007578,43.3040299967
VUT_Tramitacion,Viviendas de uso turístico,"Amezketa,Cl de los 15, 07 - B",-1.9809700896,43.3035124692
VUT_Tramitacion,Viviendas de uso turístico,Amezti 58  Villa Lamperna,-2.0276871641,43.3176432243
VUT_Tramitacion,Viviendas de uso turístico,"Andia 5, 04 - Iz",-1.9834235165,43.3201056658
VUT_Tramitacion,Viviendas de uso turístico,"Andia 7, 04 - B",-1.9836161341,43.3200329106
VUT_Tramitacion,Viviendas de uso turístico,"Andia 7, 04 - C",-1.9836161341,43.3200329106
VUT_Tramitacion,Viviendas de uso turístico,"Angela Figuera, Pz 4, 03 - B",-2.0049648779,43.3039282322
VUT_Tramitacion,Viviendas de uso turístico,"Angela Figuera, Pz 5, 03 - A",-2.004686587,43.3036645894
VUT_Tramitacion,Viviendas de uso turístico,Arrasate 1  1º A,-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,Arrasate 1  1º C,-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 01  1ºa",-1.979528602,43.3189989936
VUT_Tramitacion,Viviendas de uso turístico,"Arrasate 1, 01  C",-1.979528602,43.3189989936
